review_body,review_rating
"Ich hatte ein plus-Abo und habe dies fristgerecht gekündigt und dafür im April eine Bestätigung erhalten. Dennoch hat Tr.Shop das Geld im Juni nochmal über paypal eingezogen. Zu diesem Zeitpunkt hatte mein Konto keine ""Plus""-Funktion mehr . Beschwerde bei Paypal ... keine Reaktion bei Trusted Shop - das Geld bleibt weg. Ich habe Trusted Shop dann mehrfach angemailt - bis heute (8 Wochen) keine Antwort erhalten. Dann habe ich versucht zu chatten. Saudämlicher Chatbot schaltet ab oder verweist auf FAQ .... Irgendwann habe ich eine Tel.Nummer gefunden - und auf allen Weiterleitungen probiert ... Entweder es gibt einen Rückverweis auf Homepage und FAQ oder dauerbelegt oder Warteliste (""Sie sind der Nächste"") und TrustedShop trennt dann  die Verbindung nach ca. 2 Minuten.Die plus-Funktion ist bis heute weg, obwohl ja der Betrag eingezogen wurde. Das ist Betrug.Trusted Shop maßt sich an, die Qualität und Seriosität von Online-Shops zu bewerten .... und bescheisst selber ...  Mal sehen, ob diese Bewertung hier wieder rausgelöscht wird. Ich nehme es an. ",1
"Es wäre schon sinnvoll, wenn man die immer wieder kommenden Akquise Anrufe sein lassen würde. Und wenn man gar nicht mehr abnimmt, weil man die Nummer kennt, braucht es auch keine Emails danach. Wir haben auch niemals von unserer Seite Kontakt aufgenommen.Sollten wir der Meinung sein, dass wir einen Dienstleister wie Trusted Shops brauchen, würden wir schon aktiv werden. Der Meinung sind wir aber seit Jahren nicht und nach jetzigem Stand wird sich das auch nicht ändern. Man will Seriosität im Onlinehandel bieten, die man durch solch ein Verhalten aus unserer Sicht nicht vermitteln kann.",1
"Viele Bestellungen waren bereits mit TrustedShops abgesichert. Nun hatten wir das erste mal, dass wir davon gebrauch machen wollten und wie erwartet aus unserer Sicht mehr Marketingversprechen als eingehaltene Worte. Ware nie erhalten, TrustedShops zieht sich eine Begründung an den Haaren herbei, warum hier die TrustedShops Absicherung nicht greift - Ende.Auf eine Art Einspruch wird gar nicht mehr Reagiert.Spoiler: Der Verkäufer gegenüber hat nicht einmal Stellung zum Fall bezogen und hat keine Äußerung getätigt.Dennoch Trusted Shops hat eine Begründung (nicht nachvollziehbar) gefunden, sich nicht an ihr Serviceversprechen zu halten. ",1
"Trusted Shops hat alle meine wahrheitsgemäßen Bewertungen für FINN nicht veröffentlicht, damit kann dieser Auto-Abo-Anbieter weiter Schlussrechnungen stellen, mit denen Geld verdient wird. Ich wende mich nun an die Verbraucherzentrale, da durch meine nicht veröffentlichten Bewertungen ein verfälschtes Bild nach außen von FINN entsteht, die gute Bewertungen erhalten, da meine schlechten und wahrheitsgemäßen von Trusted Shops nicht veröffentlicht werden. Dadurch hat FINN sehr gute Bewertungen, den meine werden nicht veröffentlicht. Hintergrund: hatte bei FINN einen FIAT 500 geleast, bei Abgabe Kratzer, ich war auf REHA und konnte die Schäden nicht innerhalb von 24 Stunden melden, dann haben die einfach meine VollkaskoVersicherung einkassiert und mir eine Schlussrechnung von über 5000 Euro gestellt, Trusted Shops hat das nie veröffentlicht, auch als FINN auf 3800 Euro runtergegangen ist, keine Veröffentlichung, wie man hier abgezockt wird, habe bezahlt, obwohl es Betrug ist , da ich eine Vollkaskoversicherung hatte, die ich auch bezahlt habe, nie wieder FINN und Trusted Shops wende mich nur noch an die Verbraucherzentrale",1
"Beim Kauf eines Kühlschrank von Bomann änderte sich der Preis von 88,33€ inkl. Versand, auf 93,19€ + 10,00€ Versand, auf 103,19€.Abgebucht wurde 111,78€ !Kaufbestätigung in Englisch mit Lidl Logo. Meine Sparkasse spricht von Fake-Kauf!",1
"Ich habe bei digi-markets ein Produkt gekauft. Dieser war mit Trusted Shops (Plus) den Betrag voll abgesichert. Doch selbst nach einem Monat und trotz Käuferschutzantrag gibt es nun seit über einer Woche keine Reaktion auf meine Emails. Trotz dem Gewährleistungsfall der bestätigt ist (Digi-markets wurde aus Trusted Shops entfernt) und vieler andere Fälle, wird keine Rückzahlung geleistet. Sollte sich bald nichts tun, werde ich einen Anwalt einschalten müssen.",1
"Meine Erfahrung mit Trusted Shops war enttäuschend. Viel versprochen, wenig geliefert. Für meinen Shop hat es keinen echten Mehrwert gebracht. Sie sind gut im Verkaufen, aber liefern nicht wie erwartet. Lieber die Finger davon lassen.",1
"Ich habe mich nur wegen eines klaren Versprechens von einem Mitarbeiter bei Trusted Shops für das Bewertungssystem entschieden: spürbarer Umsatzanstieg innerhalb weniger Wochen. Dieses Versprechen wurde nicht annähernd erfüllt.Stattdessen zahle ich monatlich 119 € für ein paar Bewertungen, während der Umsatz sogar zurückgegangen ist. Der Kundenservice reagiert nur mit Standardantworten, eine frühzeitige Kündigung wird trotz der Situation abgelehnt.Für kleine Unternehmen ist dieser Dienst nicht nur nutzlos, sondern gefährlich teuer. Ich kann jedem nur dringend abraten.",1
"Als Shopbetreiber kann ich Trusted Shops nicht empfehlen. So können beispielsweise Kunden unabhängig davon, ob überhaupt ein Kaufvertrag zustande gekommen ist und ohne dass Ware geliefert wurde, den Shop bewerten. No go. Wir werden zu einem anderen Anbieter wechseln, da diese Thematik für uns überhand nimmt.",1
Trusted Shop hat mich als Kunden abgezocked. Mit sich reden lassen sie nicht! Nie wieder!!!!!!!,1
"Ganz mieser Laden! Bei Trusted Shops kann JEDER ohne Kontrolle irgendwelche Bewertungen abgeben und so Unternehmen bewusst schaden! Null Kontrolle, so ziemlich alles ist FAKE!",1
"Arbeiten mit Sportspar.de zusammen bzw. geben denen ihr Siegel. Anscheinend gilt die Sicherheit nur für die reine Lieferung. Hatte geschildert, dass es Probleme mit einer Reklamation gab und das sich Sportspar tot stellt. Leider keine weitere Reaktion.",1
Wurde nicht benötigt da kreine Bestellungen stattgefunden hat ,1
Nervig und penetrant. Kaum schaut man einmal nicht richtig hin hat man den Käuferschutz angeklickt obwohl man ihn gar nicht benötigen würde. Ebenso nervt die penetrante Spamerei per Email nach dem Kauf der Ware.,1
"Die Bewertungen auf etrusted sind z. Teil geschönt und entsprechen bei bestimmten Verkäufern nicht der Realität. Kritische Bewertungen werden von etrusted zu Unrecht gelöscht, dafür braucht es keine derartige Bewertungsplattform. Unseriöse Verkäufer werden unterstützt, indem kritische Bewertungen von der Plattform verschwinden. Kritische Kunden werden genötigt, sich bis zu einem bestimmten Datum zu rechtfertigen, wenn dem Verkäufer die Bewertung nicht passt. Anschliessend wird trotz eindeutiger Argumente und Beschreibung der Erfahrung die Bewertung gelöscht. In meinem Fall hat der Verkäufer bei trustedshops wie auch immer erreicht, dass meine Bewertung gelöscht wurde. Diese Plattform ist definitiv nicht vertrauenswürdig und nicht empfehlenswert.",1
"Der Käuferschutz ist Quatsch, wenn der Verkäufer Ware verkauft, der er erst 8 Wochen später eventuell hat!",1
"Trotz klarer Aktenlage hat TrustedShops meinen Käuferschutzfall wiederholt verzögert.Mein Fall wurde dann von PayPal binnen 24 Stunden zu meinen Gunsten gelöst.Die Trusted Shops Plattform war dabei keine Hilfe.Wenn es möglich wäre, würde ich minus vier Sterne für Trusted Shops vergeben.",1
"Produktbewertung bei FUSTIch habe bei Fust innerhalb einer zweimal eine schlechte Bewertung für eine Küchenmaschine ""Kenwood Cooking Chef XL"" abgegeben. Die Bewertung wurde einfach unterschlagen und nich publiziert. Für was bietet dieser Shop Kundenbewertungen an, wenn die schlechten Bewertungen einfach weggelassen werden? Derzeitiger Bewertungsstand mit zwei Bewertungen = 5 Sterne, obwohl ich 1 Stern abgegeben habe!",1
"Ich habe den Service gekündigt und auch eine Bestätigung erhalten. Dies hindert aber Trusted Shops nicht daran weiter Geld per PayPal einzuziehen. Trotz zweimalige Kontaktversuche per Email, keine Reaktion. Mein Geld habe ich immer noch nicht zurück bekommen. Die Freigabe Geld per PayPal einzuziehen habe ich nun entzogen. Mal schauen, ob sich jetzt jemand meldet. Finger weg. Gruß ",1
"Seit Jahren werde ich regelmäßig von verschiedenen Mitarbeitern von Trusted Shops telefonisch und per E-Mail kontaktiert, um einen Vertrag für ein Bewertungssiegel abzuschließen. Ich habe diese Angebote wiederholt und ausdrücklich abgelehnt. Trusted-Shops-Siegel ist KEINE Garantie für mehr Umsatz! Aus diesem Grund hatte ich bereits vor sehr vielen Jahren den Vertrag gekündigt. Im 2025 wurde ich erneut von einem Mitarbeiter von Trusted Shops angerufen. Ich teilte ihm sofort mit, dass ich kein Interesse an einer Zusammenarbeit habe und keine Bewertungen über Trusted Shops wünsche. Er verwies mich darauf, dass auf dem Portal von Trusted Shops bereits Bewertungen zu meinem Unternehmen existieren sollen. Angeblich hätten ""Kunden"" freiwillig diese Bewertungen abgegeben. Direkt im Anschluss wurde mir erneut ein Vertrag mit Trusted Shops angeboten.Ich habe jedoch nie ein Profil bei Trusted Shops angelegt, sodass mir unklar ist, wie und warum Bewertungen zu meinem Unternehmen dort existieren. Ich habe den Verdacht, dass Trusted Shops gezielt Kunden dorthin lenkt, um negative Bewertungen zu erzeugen und Unternehmen anschließend unter Druck zu setzen, einen Vertrag abzuschließen. Dies empfinde ich als sehr unseriös.",1
"Wahnsinn, wie hier gehandelt wird. Unser Unternehmen wird automatisch hier gelistet, aufgrund eines Urteils. Bei Nachfrage zur Löschung unseres Profils, welches wir nicht einmal angelegt haben, weigert sich Trusted Shops. Eigentlich ist das nur ein Klick. Wir wollen nichts mit der Plattform zu tun haben.Ich kann diese Plattform nicht empfehlen und rate jedem davon ab. Wir sind Dienstleister und kein Online-Shop. ",1
"Abo Abzocke, Abbuchungen ohne Rechnungen, ohne erkennbarem Verwendungszweck und ohne Kundenkontozugang.",1
"Abo-Falle!Wie diverse andere Kunden auch, gerät man unverschuldet in eine Abo-Falle.Der Kundenservice zum Widerruf ist schwer zu erreichen. 12,-€ für den Käuferschutz zahlt man bei einem getätigten Einkauf einfach mit ohne ihn zu bestätigen.",1
"Passt auf Abo auf!!!Wenn man dort ein kauf mit absichert schließt man ein Abo ab, es handelt sich nicht um ein einmaliges Ding!Ihr müsst das dann extra auf deren Seite wieder kündigen.Wiederliches Geschäftsmodell, wenn man dann ein Jahr später auf einmal Geld abgezogen bekommt, ohne über ein Abo bescheidbekommen zu haben.Man bekommt nichtmal eine Bestätigung, dass man ein Abo abgeschlossen hat, anstatt eines einmaligen Kaufs.",1
"Bereits 2024 Plus gekündigt (Bestätigung per mail erhalten!). Jetzt soll wieder abgebucht werden! Auf Nachfrage per mail wird mir die Kündigung zum 22.05.2026 bestätigt! Bei Anruf hat man nur Ansagen, keine persönlichen Ansprechpartner. Absolut unverständlich und meiner Meinung nach unsauber.",1
"Trotz Kündigung und Bestätigung der Kündigung durch diesen Verein, wurde der Jahresbeitrag trotzdem abgebucht.Auf meine Reklamation wurde bis heute nicht sachbezogen reagiert.Äußerst schlechte Erfahrung. Ein Stern ist schon zu viel.Habe aus ihrem Hause eine Kündigungsbestätigung per Mail am 31.03.2024 erhalten!!!Also berichten Sie nicht einen Unsinn in Ihrer Antwort.",1
"Mir wurden über PayPal 9,90 Euro abgebucht von trusted Shops,se, obwohl ich nicht mal bin einen Kauf getätigt habe, geschweige an diesem Tag im Internet war, Jedenfalls nicht auf dieser Seite,Wie kann sowas passieren, Natürlich möchte ich mein Geld zurück,",1
"Auf Trusted Shops kann jeder alles behaupten, ohne dass ein Händler die Möglichkeit hat, dagegen vorzugehen. Die Beweislast, dass das vom angeblichen Kunden Gesagte stimmt, liegt nämlich beim Verkäufer, nicht bei demjenigen, der das Märchen fabriziert hat.Zudem fordert Trusted Shops einen auf Daten zur Verfügung zu stellen, deren Weitergabe eindeutig ein Verstoß gegen die DSGVO wäre. Man hat also die Wahl zwischen Pest und Cholera: entweder eine falsche Bewertung stehen zu lassen, oder 4 Prozent des Umsatzes als Strafzahlung wegen Verstoß gegen die DSGVO.Trustpilot löscht nicht einmal Bewertungen, die eindeutig gegen die Nutzungsbestimmungen verstoßen.So eine Bewertungsplattform braucht niemand.Kommentar zur Antwort:Typisch Trusted Shops: ""Wir machen alles richtig und kämpfen für Transparenz.""Antwort Kunde: Ihr macht gar nichts und löscht noch nicht einmal Fake-Bewertungen.",1
"Es gibt keinerlei Nachweis darüber, dass ich ein Abo abgeschlossen habe. Ich habe den Vorgang abgebrochen, dennoch hat Trusted Shops bei mir abgebucht und nun wollen sie das für 1 Jahr monat für monat tun. Das ist eine Abofalle und ich fühle mich als Verbraucherin einfach nur abgezockt. ",1
"Ich habe von Klarna eine Rechnung über 54,00.-erhalten, für ein PC-Spiel, das ich nicht bestellt und auch nicht erhalten habe (ENEBA). Support von Klarna nicht zu erreichen! Trotz Widerspruch wurde das Geld einfach abgebucht. Nie wieder Klarna! Vorsicht bei diesem Finanzdienstleister, man wird abgezockt! Hat jemand ähnliche Erfahrungen gemacht? Weiss jemand einen Rat? Das kann ja wohl nicht sein! Wie bekomme ich mein Geld zurück?",1
"dsde-1001-2375974 - Ticketnr. 114523Bitte sofort die Retoure lösen, ansonsten werde ich durch Klarna entstandene Mahngebühren direkt vom Kaufpreis abziehen. Die Retouren Bearbeitung dauert nun schon 5 1/2 Wochen.Ich werde ganz bestimmt nichts bezahlen das rechtzeitig zurück geschickt wurde und so unzuverlässig bearbeitet wird.",1
"Ich habe bisher gedacht, das ist ja toll. Nun habe ich einen Fall eröffnen müssen, und siehe da, fake. Ich habe bei Fleurop Blumen in Brasilien bestellt, die nie angekommen sind. Trusted Shops hat mir bis heute nicht geholfen und ich habe keine Erstattung erhalten. ",1
"Wollen ständig abbuchen, obwohl gekündigt!Nie wieder ! Wenn Sie weiterhin versuchen Geld abzuheben, rechtliche Schritte! Ein Stern ist noch zu viel!",1
Dieses Unternehmen schleicht sich quasi bei Kauf mit Paypal ein - Bin über die mangelnde Tranzparenz und dem verdeckten Habitus verärgert Ich will klar über etwas informiert sein und wehre mich gegen Zwangsbeglueckung,1
" Eine Abo Falle mit Trusted Shops kommt eher zufällig zustand, wenn man mit paypal bezahlt. Dabei werden mehrere Services angeboten, z.B. eine Spende von 1 € für ein wohltätiges Unternehmen klickt man das weg landet man bei Trusted Shops, ohne dass man merkt was abzuschließen und schon zahlt man eine Gebühr von 9,90€ pro Jahr für etwas wovon man nicht einmal weiß dass es diesen Service gibt. Letztlich eine Abofalle",1
"Obwohl im Warenkorb angezeigt wird, das es einen kostenlosen Käuferschutz bis 100€ gibt, gilt dieser nicht für Gewerbekunden. Klar, Trusted Shop wird vom Verkäufer bezahlt und ich frage mich, ob die wirklich so neutral sind, wie sie behaupten. Ich bekam 50 meter ! Stoff zusammengefaltet in einen Karton geknautscht. Auf meine Reklamation beim Verkäufer Stoff4you warum ich das nicht auf Rolle bekomme, meinte dieser, das die Versandabteilung entscheidet, wie verpackt wird. Ich hätte das bei Bestellung erwähnen müssen... Es sagt mir der logische Menschenverstand, das 50 meter auf Rolle verschickt wird und nicht in einem Knäuel - das ist kein exotischer Kundenwunsch sondern Standard.Ich beantragte dann den Käuferschutz bei Trusted Shop. Man erkennt bei der Bestellung, dass ich Gewerbekunde bin und trotzdem bekam ich Emails, das ich abgesichert bin und das ich auch noch ein Käuferschutz +Plus abonnieren könnte. Nun hat Trusted Shop ganz lapidar mit einem Satz den Käuferschutz abgelehnt.Hier ein Foto wie standardmäßig Meterware Stoff verpackt und gelagert wird und dazu noch das Foto, wie wir den Stoff erhalten haben.",1
"Betrifft Trotec:Es zieht einem fast die Schuhe aus…Vor einem Jahr habe ich mir einen Luftreiniger bei der Firma Trotec bestellt. Dieser musste per Vorkasse bezahlt werden. Dagegen habe ich eigentlich nichts einzuwenden , hätte ich aber gewusst, wie mit Reklamationen umgegangen wird, hätte ich dort weder bestellt, noch bezahlt per Vorkasse.Jedenfalls warte ich seit dem auf meinen Ersatz für eine defekt gelieferte Fernbedienung.Vor einem Monat erhielt ich dann das diese jetzt verfügbar wäre….Und diese innerhalb der nächsten zwei Wochen geliefert wird…. Das wäre dann jetzt der letztmögliche Termin.Zur Info, ich habe immer nachgefragt!!Nach Anfrage wurde ich dann wieder vertröstet…. Ich glaube bis das geklärt ist, hole ich mir ein neues Gerät.Aber ganz gewiss nicht dort.Es kommt nicht einmal ein Preisnachlass für diesen schlampigen Service.Also Vorsicht, diese Firma glänz mit nicht vorhandenen Service und Zuverlässigkeit.Es ist noch ein Stern zu viel.Leider geht das nicht, die Antworten zu meinem Artikel erhielt ich von Trotec.Wenn Sie die Artikel anbieten, dann sehe ich Sie auch in der Pflicht.Natürlich betrifft das nicht den Trustpilot!!!Mit Trustpilot bin ich sehr zufrieden.",1
"eigentlich darf es keinen Punkt geben, ein Vertrag mit Trusted Shops kommt eher zufällig zustand, wenn man mit paypal bezahlt. Dabei werden mehrere Services angeboten, z.B. eine Spende von 1 € für ein wohltätiges Unternehmen und eben das Angebot von Trusted Shops, ohne dass man genau weiß was man überhaupt abgeschlossen hat. Angeblich erhält man auch eine Bestätigungsmail, die wahrscheinlich in einem Spam Ordner landet, ohne dass man sie gelesen hat und schon zahlt man eine Gebühr von 9,90€ pro Jahr für etwas wovon man nicht einmal weiß dass es diesen Service gibt. Letztlich eine Abofalle",1
"Selbst nach zwei Anfragen schafft es Trusted Shops nicht, mir eine Rechnung für den Käuferschutz PLUS zuzusenden. Und deren ""toller"" Chatbot ist so schlau, dass er mir die Rechnung aus dem Vorjahr als aktuelle Rechnung verkaufen will.Auf E-Mails wird nur mittels automatisierter Antwort reagiert. Aber, ansonsten keinerlei Reaktion. Ganz mieser Support!Update 24.04.2025:Natürlich habe ich nach der Antwort von Trusted Shops erneut eine Anfrage nach der Rechnung gestellt. Und selbstverständlich habe ich bis heute wieder keine Antwort erhalten, außer dem automatisierten Antwort-Quatsch, der von denen kommt. Sprich, Antworten hier in Trustpilot von Trusted Shops sind nur Augenwischerei, damit sie für alle sichtbar reagiert haben. Sie lösen jedoch keine Probleme.",1
"Ich habe mich wegen nicht nachvollziehbaren Emails bzw. dubiosen Methoden an Trusted Shops gewendet.So versendet Trusted Shops Emails mit falschen Namen - heißt, auch ein angeblicher Käuferschutz kann u.U. nicht gewährt werden, da der Name nicht stimmt!- Anfrage diesbezüglich wurde ignoriert  und nicht beantwortet!- Eine Kündigung wurde vorgenommen!- Keine Auskunft bez. dieser unseriösen   Methoden.",1
Trusted shop und händler lassen mich stehen:TS2C-1845015221,1
"Keine Antwort auf E-Mails. Mitgliedbeitrag wurde abgebucht. Ein Vertrag wurde nie übermittelt.Eine Vertragsverlängerung wurde auch automatisch in Rechnung gestellt. Will man kündigen, geht das nur mit einer Einmalzahlung von € 29,95. Auch dann bin ich nicht sicher, ob das erledigt ist, da man keine Bestätigung erhält. Nie mehr wieder!",1
"Der Verein ist das allerletzte, nicht bestellte Jahresgebühr wird fortgesetzt abgebucht, unter der angegebenen Telefonnummer läuft nur ein Endlosband, habe dann die angebotene Möglichkeit zum Rückruf angenommen - wie erwartet ist der NICHT erfolgt.Auf Anfragen per Email kommt einfach keine Antwort.Null Service, unzuverlässig und dann noch ungerechtfertigt abkassieren - Leute lasst die Finger von dem Laden, einen Internetshop mit Trusted Shop SE werde ich nicht mehr in Anspruch nehmen !Update zu ihrer automatisch generierten Antwort unten:Ich habe zu dem Thema bereits 4 (vier) E-Mail's gesendet und KEINE Antwort erhalten !Für mich ist der Fall erledigt.",1
Absoluter Schwachsinn. Referenznummer für die nicht bestellten Artikel.,1
Nie wieder ich habe keine Vertrag gemacht Sie buchen 9.90€ immer meine Konto ab und meldet sie sich nicht ,1
Haufenweise Fake Bewertungen zur Webseite Vollversion-Kaufen.de,1
"Wir haben bei Presseshop ein Jahresabo für den Aktionär bestellt und bezahlt.Seit dem 18.2.25 leider nur 1 Zeitschrift erhalten, obwohl sie wöchentlich erscheinen müsste.Obwohl ich bereits 3 Mails grschrieben habe,habe ich noch keine Antwort erhalten.Unmöglich.Wir versuchen es nun noch telefonisch, ansonsten werden wir unseren Rechtsdienst einschalten und unsere über CHF 400.00 zurückfordern.Ist Presseshop eventuell Konkurs gegangen?",1
Totale verars*he! Keinen Kundenservice! Kein nix! Uhr bekommen Spielzeug! Alles fehlt nur Karton Box! Aufpassen! ,1
"Hallo,leider habe ich ganz schlechte Erfahrung. Ich habe Stromvertrag abgeschlossen und Trusted Shops war sofort per mail da.Ich habe mein TS-Vertrag gekündigt mit sofortige Wirkung - habe keine Antwort/Bestätigung bekommen.Telefonisch kann man auch keinen erreichen!!! Ganz schlimm !!!LF ",1
"Ich habe leider eine negative Erfahrung mit Trusted Shops gemacht.Ich warte auf meine Erstattung seit Anfang Februar.Im Januar habe ich eine Ware bestellt und bis jetzt nicht erhalten, leider Trusted Shops Serviceteam sind immer noch am prüfen und prüfen, und es gibt  kein Ende.Jetzt habe ich Trusted Shops Mitgliedschaft gekündigt, ich bin total unzufrieden mit Trusted.Ich würde allen mal abraten diesen Service zu benutzen.",1
"Ich halte den Trusted Shop für im höchsten Maße unseriös, denn ich bekam nach dem Kauf von elektronischen Produkten eine Zahlungsaufforderung für die Kaufabsicherung. Der Kauf bereits über PayPal abgesichert.",1
