,review_body,headline,rating_value
25,"der Kundenservice lässt sehr zu wünschen übrig, die Sache überhaupt zu verstehen. Man stellt drei/vier Mal die gleiche Frage und bekommt andauernd andere Antworten.In diesem Fall geht es um eine Aktie, die ihr Hauptlisting in Australien hat und ein Zweitlisting in Kanada. In meinem Depot kann ich die Aktie nicht kaufen. Ich frage also den Support, warum? Dieser sagt mir, ""an der Börse handeln wir nicht!"". Ich: ""Doch an der kanadischen TSX.V handelt ihr, kaufe ich ständig Aktien."" Zweite Anfrage gestartet und nochmals nachgefragt: Dann kommt die Antwort, ""wegen der stamp tax / duty an der australischen Börse geht das nicht bzw. bieten wir Käufe über die ASX nicht an.""Ich nochmalig (dritte Anfrage) nachgefragt, dass ich ja in Kanada kaufen will und ich bezweifel, dass dann die australische Stamp Tax anfallen würde.Dann bekam ich einen Information, dass meine ""Beschwerde"" noch intensivere Recherchen erfordern würde und man würde sich wieder melden.Ein halbes Jahr später (ING hats wohl vergessen) frage ich wieder nach (4. Anfrage). Es wird mir geantwortet, dass keine Stamp tax für australische Gattungen anfallen würde und dass die australische Börse eine wäre, an der die ING den Handel nicht anbietet bzw. ausschließt.Frage mich echt, ob die meine Frage überhaupt gelesen bzw. bis heute verstanden haben?!",der Kundenservice lässt sehr zu wünschen übrig,1
26,"Geld einzahlen geht immer, wenn man es braucht bekommt man es auch vom Girokonto nicht!!! Ätzend!!!",Geld einzahlen geht immer,1
27,"Ich habe Hilfe von einer super Mitarbeiterin bekommen. Endlich kann ich nach 4 Wochen Selbstverzweifelung und dauernde Wiederholungen der Ansage am Telefon wieder auf meine Konten zugreifen.Sehr ruhige und Wegweisende Führung durch alle meine Probleme.Sehr sachverständig, geduldig und hatte alle Antworten auf meine Fragen.Haben Sie toll gemacht Frau........DANKE DANKE DANKE ",Tolle Mitarbeiterin,5
28,"Auf dem Konto unklare Buchungen vorhanden ohne genaue Begründung. Am Telefon wartet man ewig und wenn einer dran geht wird man wieder in die Warteschlange geschoben. Hallo was soll das? Ist eine Bafin beschwerde erforderlich? Ich bin jetzt mindestens 40 Minuten in der Warteschlange. Jetzt gerade  kam die Antwort am Telefon. Buchung wurde zu früh gutgeschrieben am Wochenende, daher Rückbuchung und erneute Buchung. Komische Vorgehensweise.",Auf dem Konto unklare Buchungen…,1
29,Einfache Kontonutzung und zuverlässige Abwicklungsprozesse z.B. bei Wertpapiergeschäften oder online Banking.Ich vermisste von ING zeitnahe Rückmeldungen. Deshalb 4 Sterne. Nun wurde auf meine Bewertung unverzüglich geantwortet.Diese schnelle Kontaktaufnahme führt mich zum 5 Stern.,Schnelle Rückmeldung,5
30,"Sehr leichtes Arbeiten/ Zugriff auf die App, nachhaltiges Engagement,gute schnelle Reaktion bei Kreditkarten Hack! Bin zufrieden!!!",Sehr leichtes Arbeiten/ Zugriff auf die…,5
31,Es klappt einfach alles!,Es klappt einfach alles!,5
32,"Brauche meine Überweisungen von 2024 an eine bestimmte Person. Früher konnte man das, heute nur bis Sept. 2024 und die Kontoauszüge sind auch nicht mehr da. Änderungen sind nicht immer gut und KI ist nur so gut und intelligent wie man sie programmiert.",Überweisungen von 2024 nicht mehr abrufbar,2
33,Bin mit dem Online-Service sehr zufrieden: Schnell und einfache Abwicklung. Musste kürzlich gerade mehrmals meine VISA-Card sperren lassen. Auch da sehr prompter und unkompliziert schneller Ersatz!-Mir gefällt auch insgesamt die Handhabung und Übersichtlichkeit der App sehr gut,Bin mit dem Online-Service äußerst zufrieden,5
34,"Bestes Personal (Mitarbeiterin L.T.) bei schlechtem OnlineZUGANG!Bei einer Bank sollte doch gutes Personal von guter Software unterstützt werden, welche Verschwendung!!! Leider umständlich, zeitraubend bis endlich alle Hürden genommen sind - Investitionsfakten auf Papier besiegelt sind - um überweisen zu können/dürfen.Bei Unterstützung auch durch ""unkomplizierten Online-Zugang"" investiere ich auch wieder in Ihrer Bank!  ",Bestes Personal (Mitarbeiterin L.T.)…,1
35,"eine freundliche, kompetente Mitarbeiterin hat mir schnell geholfen, danke",eine freundliche,5
36,Tolle Bank! Der Onlineauftritt ist professionell und wurde in den letzten Jahren ständig verbessert.,10 Jahre zufriedener Kunde,5
37,Die App ist einfach und übersichtlich. Besonders gefällt mir die Vorschaufunktion im Girokonto. Auch finde ich es besonders einfach Sparpläne anzulegen. So habe ich eine gute Kostenkontrolle. Un eine volle Kostenkontrolle haben zu können fehlt mir beispielsweise Beträge aus lastschriftverfahren. Diese werden in der vorschaufunktion nicht aufgeführt. Weshalb ich auch nur 4 sterne gegeben habe. Schön wäre es wenn entweder die app das selbst erkennt was wiederkehrende Zahlungen sind. Auch das extrakonto ist einfach. Fur diesen werden die Zinserträge gesondert aufgeführt. Auch kredite werden aufgeführt. Es ist rundum eine sehr gut gelungene App mit nur kleinen Defiziten. ,Einfach und übersichtlich,4
38,Ich bin mit der App und mit dem Service der ing zu frieden kleinere Probleme gibt aber nicht besonders Wicht aber ich kann fast alles selber ändern in der App bis jetzt für mich top,Ich bin mit der App und mit dem Service…,5
39,Einfache Bedienung.Gute Konditionen.Gebührenfreies Konto möglich.,Einfache Bedienung.,5
40,"Die App ist wirklich einfach und intuitiv zu bedienen. Sehr Benutzerfreundlich. Auch Kredite oder Versicherungen sind vorab pauschal zu berechnen. Negativ : obwohl mein Geldeingang die geforderte Grenze übersteigt, zahle ich die Kto.gebühren. Mein schriftlicher Einwand wurde übergangen bzw. mit lapidarer KI abgebügelt. Trotzdem bleibe ich Kunde, denn der Rest ist für mich gut handelbar. ",Ziemlich zufrieden ,4
41,"Super App, bin sehr zufrieden ",Super App,5
42,"Online-Banking ist top.Anfangs VISA umsonst, jetzt hohe Gebühren.Hat man andere Anliegen, kann man Tage auf die Beantwortung einer E-Mail warten. Telefon-Warteschlange ist lang.Baufinanzierung kann ich nur von abraten.",Licht und Schatten,2
43,Schon lange Kunde. Immer zufrieden.,Schon lange Kunde,5
44,"erstens ist es hoch kompliziert, jetzt an die Kontodaten zu kommen. Wenn es für die Kunden genauso kompliziert ist, wie für di Pishing-Jäger, dann ist am System etwas falsch. zweitens benutze ich den Finanzmanager und damit funktioniert der Konto-Umgang nicht mehr.",erstens ist es hoch kompliziert,1
45,"Beratung war top. Hier gibt es nichts zu verbessern. Ein Stern Abzug für das Abfrageverfahren, bevor man zu einem Kundenbetreuer durchgestellt wird. ",Beratung war top,4
46,"Ihren Kreditwunsch haben wir sorgfältig geprüft – können ihn aber leider nicht erfüllen....Dankeschön Woran das liegt? Wir haben interne Regularien, nach denen wir Ihre Bonität prüfen. Dabei fließen viele unterschiedliche Kriterien in die Bewertung ein und durchlaufen einen umfangreichen Prüf-prozess. Am Ende steht eine Gesamtbewertung, die sich aus der Summe der Einzelbewertungen ergibt – und diese kann auch negativ ausfallen, ohne dass dafür ein einzelnes Kriterium aus-schlaggebend ist.Wir bedauern sehr, dass wir Ihre Erwartungen in diesem Fall nicht erfüllen können...es wäre hilfreich zu verstehen...okay....nie wieder ING..",Ihren Kreditwunsch haben wir sorgfältig…,1
47,"Unkompliziert und Sicher. Freundlich sowie Kompetent und Hilfsbereit bei Anrufen. Die beste Bankerfahrung, die ich bisher gemacht habe!",Unkompliziert und Sicher,5
48,"Zu 98% bin ich mit der ING zufrieden, einzig eine Sache ist ab und zu nervig! Einige EC-Kartenlesegeräte wollen meine Karte nicht akzeptieren... Liegt aber sicherlich nicht an der Karte...",Zu 98% bin ich mit der ING zufrieden,5
49,"Ich versuche seit Wochen, eine Baufinanzierung zu kündigen. Auf schriftlichem Wege  werde ich mit hektografierten Schreiben der Diba zugemüllt. Eine telefonische Klärung ist nicht möglich, weil die telefonische Erreichbarkeit der Diba ""gleich null"" ist ",telefonische Erreichbarkeit,1
50,Läuft einwandfrei ,Läuft einwandfrei,5
51,"Rückforderung auf Visacard  promt, schnell und unkompliziert",Rückforderung auf Visacard  promt,5
52,"Konstruktiv, schnell und problemlos ",Die Bank,5
53,In allen Bereichen Top!,In allen Bereichen Top!,5
54,Ich bin ein durchschnittlicher Kunde ohne Besonderheiten und Extras. Eingänge und Ausgänge werden schnell angezeigt. Überweisungen laufen unkomplizierter als bei anderen Banken. Ich hatte noch nie Schwierigkeiten mit meinen Konten. Also ich bin voll zufrieden. ,Die Bank meines Vertrauens,5
55,"Mitarbeiter der ING haben  mir geholfen, eine unrechtmäßige Abbuchung, die ich selbst verschuldet hatte, zurückzuholen. Vielen Dank dafür.Dr. K. H.",Hilfe bei einem Betrugsversuch,5
56,"Ich bin RUNDUM sehr zufrieden. Warum:1. Die App ist überschaubar gestaltet, somit kommt auch Ü60 gut klar mit der Handhabung. 2. Erreichbarkeit ist excellent. Wichtige Infos oder Fragen beantwortet die App oder wenn nötig ein hilfreicher Mitarbeiter am Telefon. 3. Leistungen und Angebote werden dem Markt ständig angepasst. ",Ich bin RUNDUM sehr zufrieden,5
57,"Einloggen mit dem QR Code seit Jahren mit dem 2. Smartphone, trotz X - Anschreiben -u. Anrufe, nicht möglich. Noch keine Lösung war stets die ING-DiBa Antwort.",Kein QR Code Zugang mit 2. Smartp. ,3
58,Sehr gute Bank,Sehr gute Bank,5
59,Wenn ich ein Problem hatte wurde mir immer schnell geholfen danke dafur,Wenn ich ein Problem hatte wurde mir…,5
60,"Bin seit 12 Jahren bei der Bank, sehr zufrieden, vorallem die Aufnahme war problemlos, nur 3 Monatslöhne Nachweis , Ing Bank bietet mir alles was ich benötige, Absolute Empfehlung , 5 Sterne ",Bin seit 12 Jahren bei der Bank,5
61,"In einem sehr netten und informativen Gespräch wurde mir eine postalische Fake-Zusendung bestätigt. Alle sollten darauf achten, dass alle postalischen Infos bereits VORHER in der eigenen ING -Postbox erschienen sein sollten. Also: GRÖẞTE VORSICHT BEI POSTALISCHEN ZUSENDUNGEN!!!",Mit der Post erhaltene gefährliche Fakes,5
62,"Gutes depot, Übersichtlich und schneller Service. Zudem viele ",Userexperience ,4
63,"Mit einer unkomplizierten Verfikationsmethode direkt aus meinem Kunden-Konto heraus (ohne lästiges PIN-Abgefrage) konnte ich eine Servicerufnummer anwählen und nach drei Sprachmenüabfragen direkt mit einem Service-Mitarbeiter sprechen (diese Auswahlmöglichkeit gibt es oft nicht mehr!), dieser hatte Zugriff auf alle notwendigen Inhalte (auch das ist leider in Zeiten von KI-Robotern und outgesourcten Call-Centern leider nicht mehr selbstverständlich), hatte Ahnung vom Inhalt und konnte mir weiterhelfen. So stelle ich mir telefonischen Kunden-Support vor, genau so! Herzlichen Dank!",Echte Menschen,5
64,"Unkomplizierte Überweisung, auch sofort. Problematisch erschien mir hier die Bestätigung einer Überweisung, beauftragt auf dem PC; es war etwas hakelig, wann man in einer anderen Ansicht war. Ich hätte erwartet, das die Aufforderung einer Aktion sofort kommt. ",Unkomplizierte Überweisung,4
65,"Super App und immer gute Abwicklung. 1 x etwas schlechtere Erfahrung mit der steuerlichen Behandlung eines Fonds, der eindeutig KapESt-frei ist, aber ING trotzdem KapESt abgeführt hat, so dass eine mühsame individuelle Rückforderung beim Finanzamt in der Steuererklärung durchgeführt werden musste. ING lieferte trotz ausführlicher Korrespondenz keine wirkliche Erklärung. Aber immerhin zeitnahe inhaltliche Antworten. Alles in allem Empfehlung .",Super App und immer gute Abwicklung,4
66,"Gutes Preis-Leistungsverhältnis. Seit 20 Jahren alles gut gelaufen - gute Zusammenarbeit. Finanzierung, Girokonto und Tagesgeldkonto - mit allen Produkten zufrieden. Wenn persönlicher Kontakt mit Beratern notwendig war, dann immer höflich und kompetent.",Gutes Preis-Leistungsverhältnis,5
67,Einfaches online Banking. Bin seit Jahren sehr zufrieden.,Einfaches online Banking,5
68,Die Ansicht der Konten  in der App ist auf dem Mobilgerät sehr unbefriedigend. ,Die Ansicht der Konten  in der App ist…,2
69,"Viele Dank für die sehr gute Betreung. Ich bin sehr zufrieden,einfach Topp!!!                   ",Viele Dank für die sehr gute Betreung,5
70,"Ich bin seit Jahrzehnten bei der ING. Früher ein super kostenloses Girokonto, inzwischen Gebühren für die Girokarte. Zudem sind die Zinsen für das Extra-Konto sehr niedrig im Vergleich zu anderen Banken. Da nutzen Aktionen für Bestandskunden auch nichts. Aber so richtig ärgere ich mich über die neueste Bevormundung bei Überweisungen. Bisher konnte ich den Höchstbetrag kurzfristig erhöhen und wieder senken. Das geht jetzt nicht mehr. Wenn ich einen höheren Betrag überweisen möchte, muss ich 4 Stunden (!) warten und muss auch noch angeben, warum ich diesen Betrag überweisen möchte. Das geht m.M.n. zu weit. Ich möchte aus Sicherheitsgründen keinen hohen Betrag als allgemeine Höchstgrenze festlegen. ",Ich bin seit Jahrzehnten bei der ING,3
71,"Alles bestens. Zuverlässig, günstig und transparent. Sehr zu empfehlen. ",Top Bank,5
72,"nie Probleme, alles klappt & das sehr einfach. Auch im Ausland nie Probleme gehabt.",keine Probleme,5
73,"Es ist gut, dass eine unrechtmäßig vorgenommene Abbuchung anstandslos zurückgebucht werden konnte.",Rückbuchung sofort,5
74,Für meine Anforderungen finde ich die App sehr übersichtlich ,Für meine Anforderungen finde ich die…,5
75,Bin seit kurzem Kunde der ING und muss wirklich sagen das ich super zufrieden bin. Die App ist sehr gut und absolut verständlich. Kleingeld Plus finde ich persönlich sehr gut 👍. Ich kann die Bank wirklich nur weiterempfehlen. ,Bin seit kurzem Kunde der ING und muss…,5
76,"Bin vor ca.4 jahren von meiner alten Bank zur ING-Diba gewechselt und habe es bisher noch nie bereut. Hier kann man bei Fragen immer anrufen,es gibt immer eine kompatible Lösung. Keine Kosten die nicht vorher angezeigt wurden. Alles in allem,einfach perfekt. ;)",Bin vor ca.4 jahren von meiner alten…,5
77,Sehr übersichtlich Leicht verständlich ,Sehr übersichtlich ,5
78,Nie mehr ING ,Nie mehr ING,1
79,Für mich die beste Bank uber,Für mich die beste Bank überhaupt. Noch nie Probleme damit gehabt und ich hoffe das es so bleibt ,5
80,"Es sind bald 20 Jahre die ich bei der ING bin, anfangs war es nur ein Geschäftskonto, heute bin ich nur noch Privatkunde. Alles in allem nur gute positive Erfahrungen gemacht ! Auch die Banking-App wurde verbessert und hängt nicht mehr hinterher. Die Bankgebühren kann ich in der heutigen Zeit verstehen, nur die Weitergabe von Zinsänderungen die zugunsten der Bankkunden sind könnten etwas flotter sein. Alle fünf Sterne gebe ich sehr gerne. ",Immer noch meine beste Bank !,5
81,"Angefangen mit einer reibungslosen Baufinanzierung und dem extra-Konto bis hin zum kompletten Wechsel des Girokontos zur ING, war allesamt gut und läuft problemlos. Der einzige mir spontan einfallende Schwachpunkt ist der monatliche Beitrag zur Giro-Card. ",Zufriedenheit ,4
82,"Zinsen für das EXTRA Konto sind zu niedrig.0,75 % Variabler Zins auf Beträge bis 1.000.000,00 EUR, sind viel zu niedrigBearbeitungsgebühr für Verrechnungsschecks.",Zinsen für das EXTRA Konto sind zu…,1
83,"Ich habe immer zuverlässige,kompetente Auskünfte bekommen,auch bei strittigen Problemen","Gute,verlässliche Betreuung",5
84,"With this bank since over 10 years (kept it also after moving to France). Getting support was never an issue, either by phone or by email. In the latest case, a French gas station debited the wrong amount to my Girokonto. Problem was kindly handled by the bank and the due amount was returned to my account.",Great customer support ,5
85,"Service, App und Preis/Leistung finde ich sehr gut.Schade, dass ich Wero nicht mit unserem Gemeinsamen Konto nutzen kann. Der Zwang extra dafür ein Einzelkonto zusätzlich eröffnen zu müssen, ist abwegig und unverhältnismäßig. Eine einmalige Zustimmung per ""Häkchen"" plus separater, eindeutiger E-mail Adresse je Wero Nutzer  sollte mehr als ausreichend sein und ohne nennenswerten Aufwand implementierbar. Zumal auch jeder Nutzer des gemeinsamen Kontos über eine eigene Mobilnummer verfügt. Ein zusätzliches Einzel-Konto zu eröffnen könnte eine sinnvolle Option sein - zumindest für diejenigen, welche dies ausdrücklich wünschen.","Super Bank, Depot und Service, ....",4
86,"Auch wenn es einmal nicht 08-15 läuft, die ING ist stets sehr schnell ansprechbar und hat mir ausnahmslos immer im ersten Gespräch nach wenigen Minuten die Lösung meines Anliegens gezeigt, wobei auch die Beratung nicht zu kurz kam.So etwas erwartet man von einer Online-Bank nicht, die ING leistet es aber mit Bravour!",Auch wenn es einmal nicht 08-15 läuft,5
87,"ING – Bank und Fehler! Fehler können immer geschehen. So habe ich am 11.9.2025 zwei verschiedene Überweisungen, an eine Versicherung getätigt. Am 13.9.2025 wurde eine Überweisung bei der Versicherung gebucht. Die andere Überweisung findet bis zum 22.9.2025 keiner. Ein sehr freundlicher Herr N. von der ING half 8:28 Uhr am 22.9.2025, den Grund zu finden. Es lag an der BIC. Die wird von der ING – Bank selbst eingetragen. Hier ist es geschehen, dass eine Überweisung einen zusätzlichen Buchstabe oder Nummer selbst eingefügt hatte, der nicht dort hingehörte. Hoffen wir, da es Versicherungsbeiträge waren, dass ich im Schadensfall versichert bin. Kurios, es waren bei beiden Überweisungen, direkt hintereinander, die selbe Kontonummer. Eines ist sehr WICHTIG: die Ehrlichkeit des Bankmitarbeiters. Die war vorhanden. Wenn ich bis jetzt auch nichts mehr hörte. Sehr geehrte ING, auch nach meiner Bewertung und Ihrer Antwort, teile ich nun mit, dass die beanstandete Überweisung erfolgreich das Buchungsziel am 23.9.2025 erreichte. An den Kundenservice habe ich mich gewandt. Der Mitarbeiter war sehr freundlich. Wie fast alle von der ING. Doch Fehler sollten die ING-Itler verhindern.",ING – Bank und Fehler!,5
88,"Ich bin ein ganz einfacher Kunde, ohne Sonderwünsche. Dafür bin ich mit ING absolut zufrieden. Die App ist klar, simpel gestaltet und effektiv. Die Einrichtung von mehreren Konten auf unterschiedliche Geräte ist nicht kompliziert. Ich musste nur einmal etwas telefonisch erledigen. Die Ansprechpartnerin war ziemlich ungeduldig, es hat aber danach geklappt.",Rundum zufrieden,5
89,Zinsen aufs Tagesgeld könnten für Bestandskunden höher sein. Ansonsten bin ich mit der App und dem Handling zufrieden.,Zinsen aufs Tagesgeld könnten für…,4
90,Problemlos seit vielen Jahren.Ich arbeite schon seit einigen Jahren mit der ING Bank.Ich hatte noch nie Grund mich zu beschweren. Bislang lief alles wie vereinbart. Problemlos!Danke!,Problemlos seit vielen Jahren.,5
91,"Einfache Bedienung,  sehr logisch aufgebaute App",Einfache Bedienung,5
92,"Alles, was ich wollte, hat gut geklappt, auch Sonderaufträge.",Alles,5
93,Sehr übersichtliche App. Bei Fragen wird man telefonisch sehr kompetent und freundlich beraten. ,Sehr übersichtliche App,5
94,Ich erreiche immer jemanden und werde super freundlich behandelt.Produkte sind sehr gut und die App ist wirklich mit Nutzer im Sinn gestaltet. ,"Freundlich, immer erreichbar, gute Produkte ",5
95,Eine verlässliche Bank mit guten Konditionen . Kostenloses Depot und immer ein erreichbarer Service und eine sehr Transparente App mit vielen guten Tipps in Bezug zu  allen Relevanten Themen .,Eine verlässliche Bank mit guten…,5
96,"Die Kontaktaufnahme ist verbesserungswürdig.Ich habe über 10 Minuten benötigt um überhaupt in die Warteschleife zu kommen. Anschließend habe ich geschätzt nochmals mehr als 10 Minuten gewartet, bis ich endlich eine freundliche Dame am Telefon hatte.",Kundenorientiert ist ds nicht,3
